Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2022;Nombre de naissances domiciliées 2023;Part des emplois sal. dans le nb d’emplois au LT 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021;Part des ménages ayant au moins 1 voiture 2021
01099;Chazey-sur-Ain;1613;7;68.8;0;0;85.4;0.6;94.1
01100;Cheignieu-la-Balme;130;0;72.1;0;0;97.6;0;91.9
01101;Chevillard;149;2;22.2;0;0;91.1;2.2;97.1
01102;Chevroux;981;7;67.6;0;0;91.9;0.7;96.3
01103;Chevry;2301;28;74.1;0;0;87.5;2.1;98
01104;Chézery-Forens;436;3;68.4;0;0;77.6;0.9;94.6
01105;Civrieux;1986;28;83.3;0;0;88.1;0.2;98.3
01106;Cize;175;1;62.9;0;0;93;0;96.3
01107;Cleyzieu;144;1;36.1;0;0;85.7;1.6;91.5
01108;Coligny;1294;14;76.7;0;0;83.8;0.9;94.8
01109;Collonges;2260;18;66.8;0;0;85.8;0.7;95.8
01110;Colomieu;164;3;70;0;0;93.7;0;94.4
01111;Conand;136;3;100;0;0;88.7;0;94.8
01112;Condamine;477;5;71.4;0;0;90.9;0.4;95
01113;Condeissiat;815;13;55.5;0;0;82.9;0;95.3
01114;Confort;676;3;84.2;0;0;81;0.5;94.8
01115;Confrançon;1357;16;73;1;12;91.7;0;97
01116;Contrevoz;489;1;67.1;0;0;87.9;1;95.1
01117;Conzieu;148;3;9.1;0;0;93.7;0;94.8
01118;Corbonod;1315;15;81.9;0;0;86.7;1.2;96
01121;Corlier;116;2;64.7;0;0;95.1;0;97.9
01123;Cormoranche-sur-Saône;1165;10;83.4;0;0;89.6;1.7;95.6
01124;Cormoz;704;5;55.6;0;0;92.3;0.3;95.9
01125;Corveissiat;587;9;82.6;0;0;89.6;0;96.5
01127;Courmangoux;513;4;39.8;0;0;91.8;0.4;94.2
01128;Courtes;293;3;73.6;0;0;88.1;0;94.7
01129;Crans;316;7;60.3;0;0;83.7;0;93.7
01130;Bresse Vallons;2393;25;77.3;0;0;91.2;0.8;97.9
01133;Cressin-Rochefort;384;3;40.3;0;0;88.7;0.6;94.8
01134;Crottet;1844;15;84.5;0;0;89.9;1.4;96.6
01135;Crozet;2354;18;80;3;104;86.2;2;97.2
01136;Cruzilles-lès-Mépillat;951;7;58.3;0;0;92.8;0.2;97.4
01138;Culoz-Béon;3416;29;90.7;0;0;77.2;0.8;88.9
01139;Curciat-Dongalon;462;1;47.9;0;0;81.9;1.1;95.2
01140;Curtafond;805;9;76;0;0;91.4;0.5;95.3
01141;Cuzieu;423;1;47.5;0;0;90.3;0;96.8
01142;Dagneux;4741;53;89.6;1;21;80.6;1.8;94.4
01143;Divonne-les-Bains;10300;76;80.3;8;420;77.2;3.2;93.6
01145;Dompierre-sur-Veyle;1225;7;56.4;0;0;86.5;0;93.2
01146;Dompierre-sur-Chalaronne;453;5;69.6;0;0;90;0;98.8
01147;Domsure;540;6;43.4;0;0;91.4;1.2;94
01148;Dortan;2013;23;74.7;0;0;93;0.6;92.1
01149;Douvres;1108;8;74.3;0;0;86.5;0.8;97.1
01150;Drom;215;3;63.5;0;0;87.1;3.4;95.7
01151;Druillat;1144;9;66.6;0;0;91.8;0.2;95.5
01152;Échallon;774;10;58.4;0;0;91.3;0;97
01153;Échenevex;2227;18;74.7;1;14;87.7;0.6;98.3
01155;Évosges;143;0;56.7;1;11;88.2;0;97.2
01156;Faramans;905;9;81.1;0;0;86.5;0;96.7
01157;Fareins;2524;32;76.3;0;0;88.3;1.3;96.1
01158;Farges;1065;8;70.3;0;0;87.6;1.1;95.8
01159;Feillens;3388;29;89.1;0;0;90.1;1.6;94.5
01160;Ferney-Voltaire;11530;119;87;5;384;56.6;5.7;81.8
01162;Flaxieu;64;2;65.3;0;0;90;3.3;100
01163;Foissiat;2024;17;63.9;1;5;89.9;0.3;94.9
01165;Francheleins;1593;11;72.8;0;0;90.1;0.1;97.8
01166;Frans;2547;28;73.4;0;0;87.7;0.6;96.9
01167;Garnerans;685;4;83.4;0;0;92.1;0.3;94.1
01169;Genouilleux;675;10;65.9;0;0;88.6;0;98.3
01170;Béard-Géovreissiat;1048;2;86.9;0;0;94.6;0.6;95.9
01171;Géovreisset;843;12;77;0;0;93.7;0;97.5
01173;Gex;13455;163;83.6;4;124;81.5;1;93.1
01174;Giron;174;1;60.3;1;30;83;0;96.2
01175;Gorrevod;782;3;84.8;1;8;92.4;1.2;95.1
01177;Grand-Corent;186;2;54;0;0;93.4;0;97.6
01179;Grièges;1909;13;88.1;0;0;89.7;1;95.5
01180;Grilly;873;10;56.7;0;0;82.1;3.9;97.1
01181;Groissiat;1216;10;94;0;0;93;0.6;96.5
01183;Guéreins;1503;12;78.1;0;0;89.4;0.4;97.3
01184;Hautecourt-Romanèche;754;5;66.4;0;0;92.4;0.6;95.3
01185;Plateau d'Hauteville;4790;33;87.3;3;30;72.5;1.4;84.3
01187;Haut Valromey;603;8;70.8;1;9;81.9;0.4;97.4
01188;Illiat;696;5;52.9;0;0;91.9;0;99.2
01189;Injoux-Génissiat;1123;10;88.6;0;0;87;0.2;96.9
01190;Innimond;92;0;27.6;0;0;68.4;0;93.6
01191;Izenave;159;1;61.7;0;0;93.9;0;97.4
01192;Izernore;2262;20;92.2;0;0;89.6;1.8;94.3
01193;Izieu;223;0;73.1;0;0;89.2;2.5;94.9
01194;Jassans-Riottier;6315;49;81.5;0;0;83.3;1;88.8
01195;Jasseron;1900;17;82.1;1;32;92.1;0.8;97.4
01196;Jayat;1276;10;81.9;0;0;89.7;0.6;97.5
01197;Journans;384;3;36.3;0;0;91.1;0;96.7
01198;Joyeux;262;1;61.4;0;0;81.8;0;95.8
01199;Jujurieux;2209;19;80.2;0;0;86;1.3;90.9
01200;Labalme;207;3;68.6;0;0;88.9;0;92.3
01202;Lagnieu;7321;80;84.6;1;8;85.5;1.2;89.4
01203;Laiz;1292;11;83.7;0;0;87.6;1.2;96.3
01204;Le Poizat-Lalleyriat;740;8;53.3;0;0;92.3;0;96.6
01206;Lantenay;265;1;76;0;0;95.9;0.7;93.2
01207;Lapeyrouse;337;3;74.3;0;0;83.2;0;99.2
01208;Lavours;138;0;85.7;1;10;90.7;0;92.4
01209;Léaz;887;13;66.6;0;0;90.4;0.3;95.8
01210;Lélex;236;3;59;1;15;58.7;0.8;86.7
01211;Lent;1459;16;74.4;0;0;87.6;0.2;94.4
01212;Lescheroux;720;8;55.1;0;0;90.3;0;96.2
01213;Leyment;1417;20;88.6;0;0;85.3;0.8;96.5
01214;Leyssard;163;0;44.6;0;0;94.9;0;97.3
01215;Surjoux-Lhopital;140;0;62.8;0;0;91.7;0;98.4
01216;Lhuis;891;5;81.3;0;0;90.2;0.3;96
01219;Lompnas;162;3;26.7;0;0;83.8;0;90.9
01224;Loyettes;3468;36;83.1;0;0;92.2;0.5;95.6
01225;Lurcy;404;4;46.6;0;0;91.4;0;98.8
01227;Magnieu;651;0;62.6;0;0;85.8;0.7;96.7
01228;Maillat;693;2;86.7;1;35;87.1;0.9;96
01229;Malafretaz;1235;14;76.8;1;31;90.9;0.9;90.8
01230;Mantenay-Montlin;320;1;59.8;0;0;79.8;2.1;94.8
01231;Manziat;1985;21;83.3;0;0;90.3;1;94.6
01232;Marboz;2262;13;72.5;0;0;86.9;0.4;93.6
01233;Marchamp;135;0;29.2;0;0;93.3;1.7;97
01234;Marignieu;164;2;81.7;0;0;89.7;1.3;93.6
01235;Marlieux;1186;19;74.2;0;0;79.2;0.4;90.3
01236;Marsonnas;1034;8;58.3;0;0;92;1.1;95.9
01237;Martignat;1667;11;89.5;0;0;93.3;1.3;97.6
01238;Massieux;2733;28;85.3;2;102;86.7;0.9;96.6
01239;Massignieu-de-Rives;653;5;57.2;0;0;91.3;0;97.2
01240;Matafelon-Granges;630;1;62.2;1;5;95.2;0.3;95.9
